# z  DH  sigDH  DM  sigDM  DV  sigDV
6.166834170854271768e-01 3.080780523456386618e+03 3.173014830857304602e+01 2.317726260533301229e+03 6.872968981058097881e+01 2.169114301306842208e+03 4.352364681698449544e+01
6.285427135678391952e-01 3.057662623536640695e+03 3.232479815033622117e+01 2.354125069143611199e+03 6.881813780129277802e+01 2.200194839267935095e+03 4.357419514195321142e+01
6.404020100502512136e-01 3.034735859990239078e+03 3.292988862617796286e+01 2.390250849096182719e+03 6.890980999379372918e+01 2.230934647812051480e+03 4.363054786442785371e+01
6.522613065326632320e-01 3.012000788703065155e+03 3.354161888574208916e+01 2.426105870430142659e+03 6.900480406123699595e+01 2.261337570200503251e+03 4.369280639759626439e+01
6.641206030150753614e-01 2.989457873235128318e+03 3.415675130785709257e+01 2.461692409229575787e+03 6.910319891198939501e+01 2.291407453588210956e+03 4.376105433432000780e+01
6.759798994974873798e-01 2.967107487895610120e+03 3.477253379608411876e+01 2.497012746546833114e+03 6.920505641831616117e+01 2.321148147028960921e+03 4.383535840051548149e+01
6.878391959798995092e-01 2.944949920778140495e+03 3.538663034084527226e+01 2.532069167362084954e+03 6.931042295610603787e+01 2.350563499558771127e+03 4.391576926479758924e+01
6.996984924623114166e-01 2.922985376746506972e+03 3.599705987510429850e+01 2.566863959578562117e+03 6.941933077678406505e+01 2.379657358354061671e+03 4.400232222513045599e+01
7.115577889447235460e-01 2.901213980376944619e+03 3.660214303047066409e+01 2.601399413052962700e+03 6.953179923053403400e+01 2.408433566965339196e+03 4.409503779148634095e+01
7.234170854271355644e-01 2.879635778847844904e+03 3.720045617589895670e+01 2.635677818660426055e+03 6.964783585809391298e+01 2.436895963622982435e+03 4.419392218223152469e+01
7.352763819095476938e-01 2.858250744780957120e+03 3.779079200811408157e+01 2.669701467393501389e+03 6.976743736667357609e+01 2.465048379615162048e+03 4.429896775008372600e+01
7.471356783919597122e-01 2.837058779029205652e+03 3.837212594824249834e+01 2.703472649494486177e+03 6.989059050398290651e+01 2.492894637735406832e+03 4.441015335268217967e+01
7.589949748743718416e-01 2.816059713412266319e+03 3.894358760683928722e+01 2.736993653620520945e+03 7.001727284291048647e+01 2.520438550798932283e+03 4.452744468039534098e+01
7.708542713567839710e-01 2.795253313397235615e+03 3.950443664546243383e+01 2.770266766040798757e+03 7.014745348806501113e+01 2.547683920225698330e+03 4.465079455358817029e+01
7.827135678391959894e-01 2.774639280725546541e+03 4.005404241569228674e+01 2.803294269865245042e+03 7.028109371418804585e+01 2.574634534689203974e+03 4.478014319949820532e+01
7.945728643216080078e-01 2.754217255982318875e+03 4.059186682855522577e+01 2.836078444304015193e+03 7.041814754532306608e+01 2.601294168828505917e+03 4.491541851776202066e+01
8.064321608040200262e-01 2.733986821111715471e+03 4.111744997607510754e+01 2.868621563957135550e+03 7.055856228261542640e+01 2.627666582023093724e+03 4.505653634256245255e+01
8.182914572864321556e-01 2.713947501874358750e+03 4.163039808488802862e+01 2.900925898133636110e+03 7.070227898768723662e+01 2.653755517227970813e+03 4.520340070771812435e+01
8.301507537688441740e-01 2.694098770248122946e+03 4.213037344604341428e+01 2.932993710199487850e+03 7.084923292768964131e+01 2.679564699867798936e+03 4.535590412051627140e+01
8.420100502512563034e-01 2.674440046771748257e+03 4.261708600807384784e+01 2.964827256953676169e+03 7.099935398736676007e+01 2.705097836788403583e+03 4.551392784826176552e+01
8.538693467336683218e-01 2.654970702832523784e+03 4.309028637388216509e+01 2.996428788031731528e+03 7.115256705277010951e+01 2.730358615264466152e+03 4.567734222130786037e+01
8.657286432160804512e-01 2.635690062895420851e+03 4.354975997511054686e+01 3.027800545336047890e+03 7.130879237064262099e+01 2.755350702060949970e+03 4.584600695484396482e+01
8.775879396984923586e-01 2.616597406675502498e+03 4.399532223327184965e+01 3.058944762492297741e+03 7.146794588691956562e+01 2.780077742547199705e+03 4.601977149102851428e+01
8.894472361809044880e-01 2.597691971255073440e+03 4.442681454897176252e+01 3.089863664331282962e+03 7.162993956729678757e+01 2.804543359862612760e+03 4.619847536266084376e+01
9.013065326633165064e-01 2.578972953142625556e+03 4.484410097990133437e+01 3.120559466395550771e+03 7.179468170236467017e+01 2.828751154131187832e+03 4.638194857827760842e+01
