# z  DH  sigDH  DM  sigDM  DV  sigDV
4.937185929648241212e-01 3.314161129231808900e+03 9.641903658387768417e+01 1.910889171753100982e+03 1.078767557962352868e+02 1.814574068775356636e+03 7.052365522417524346e+01
5.035929648241206369e-01 3.293368191027560897e+03 9.650157516461176499e+01 1.943511772542823792e+03 1.083017610457624755e+02 1.843450288830662657e+03 7.081131198955094419e+01
5.134673366834171526e-01 3.272695439200409965e+03 9.656680058615452822e+01 1.975929649511160505e+03 1.087257524263505672e+02 1.872062985215285607e+03 7.109925569310759386e+01
5.233417085427136684e-01 3.252144601077023708e+03 9.661243749736117081e+01 2.008143997951223810e+03 1.091485810090884314e+02 1.900414342943428437e+03 7.138720988423457925e+01
5.332160804020100731e-01 3.231717322699270881e+03 9.663667601678390895e+01 2.040156029811073950e+03 1.095700820698726403e+02 1.928506573770054956e+03 7.167489207797964923e+01
5.430904522613065888e-01 3.211415170203852540e+03 9.663812159479491015e+01 2.071966972897894721e+03 1.099900792747015998e+02 1.956341914603160149e+03 7.196201772658783113e+01
5.529648241206029935e-01 3.191239631227485916e+03 9.661574912736574561e+01 2.103578070095916246e+03 1.104083883863989684e+02 1.983922625947599954e+03 7.224830374648307441e+01
5.628391959798995092e-01 3.171192116336407707e+03 9.656886115862043596e+01 2.134990578598335560e+03 1.108248205316027679e+02 2.011250990381314296e+03 7.253347163053176416e+01
5.727135678391960250e-01 3.151273960476265984e+03 9.649704995738461832e+01 2.166205769153453730e+03 1.112391850646253602e+02 2.038329311064158901e+03 7.281725017499141472e+01
5.825879396984924297e-01 3.131486424439215625e+03 9.640016321852543513e+01 2.197224925325209824e+03 1.116512920626259131e+02 2.065159910279595806e+03 7.309937784971451435e+01
5.924623115577889454e-01 3.111830696347310095e+03 9.627827312839640683e+01 2.228049342768289080e+03 1.120609544844473220e+02 2.091745128009916243e+03 7.337960483959756175e+01
6.023366834170854611e-01 3.092307893147969025e+03 9.613164852628419510e+01 2.258680328517933049e+03 1.124679900234463190e+02 2.118087320544866088e+03 7.365769478407784732e+01
6.122110552763818658e-01 3.072919062119791306e+03 9.596072990025221827e+01 2.289119200294568600e+03 1.128722226826819792e+02 2.144188859124000828e+03 7.393342624054409384e+01
